trainingdata,dim,n,m,track,rank,step,l,acc,model,C
jrnd,30,6,5,mwr,p,29,22,100.0000,PREF,10
jrnd,30,6,5,mwr,a,1,11772,53.8056,PREF,10
jrnd,30,6,5,mwr,a,2,11676,60.8085,PREF,10
jrnd,30,6,5,mwr,a,3,11182,64.9258,PREF,10
jrnd,30,6,5,mwr,a,4,11250,69.3333,PREF,10
jrnd,30,6,5,mwr,a,5,11074,69.0265,PREF,10
jrnd,30,6,5,mwr,a,6,11010,66.0672,PREF,10
jrnd,30,6,5,mwr,a,7,10884,65.8581,PREF,10
jrnd,30,6,5,mwr,a,8,10826,67.7813,PREF,10
jrnd,30,6,5,mwr,a,9,10692,70.9315,PREF,10
jrnd,30,6,5,mwr,a,10,10196,71.5182,PREF,10
jrnd,30,6,5,mwr,a,11,10190,72.8950,PREF,10
jrnd,30,6,5,mwr,a,12,10120,70.2767,PREF,10
jrnd,30,6,5,mwr,a,13,9932,71.2445,PREF,10
jrnd,30,6,5,mwr,a,14,9670,71.0031,PREF,10
jrnd,30,6,5,mwr,a,15,9488,73.8406,PREF,10
jrnd,30,6,5,mwr,a,16,9182,78.0876,PREF,10
jrnd,30,6,5,mwr,a,17,8994,81.3654,PREF,10
jrnd,30,6,5,mwr,a,18,8886,80.2836,PREF,10
jrnd,30,6,5,mwr,a,19,8638,82.7043,PREF,10
jrnd,30,6,5,mwr,a,20,9058,85.0740,PREF,10
jrnd,30,6,5,mwr,a,21,9092,86.1197,PREF,10
jrnd,30,6,5,mwr,a,22,8892,84.9528,PREF,10
jrnd,30,6,5,mwr,a,23,8452,87.6479,PREF,10
jrnd,30,6,5,mwr,a,24,7822,88.9542,PREF,10
jrnd,30,6,5,mwr,a,25,7100,93.5775,PREF,10
jrnd,30,6,5,mwr,a,26,3380,97.2189,PREF,10
jrnd,30,6,5,mwr,a,27,1410,95.8865,PREF,10
jrnd,30,6,5,mwr,a,28,456,100.0000,PREF,10
jrnd,30,6,5,mwr,a,29,44,100.0000,PREF,10
jrnd,30,6,5,cma,b,1,6632,54.0712,PREF,10
jrnd,30,6,5,cma,b,2,6778,63.1750,PREF,10
jrnd,30,6,5,cma,b,3,6918,64.9899,PREF,10
jrnd,30,6,5,cma,b,4,7040,62.2443,PREF,10
jrnd,30,6,5,cma,b,5,7090,59.5487,PREF,10
jrnd,30,6,5,cma,b,6,6930,62.3377,PREF,10
