trainingdata,dim,n,m,track,rank,step,l
jrnd,30,6,5,mwr,b,26,1812
jrnd,30,6,5,mwr,b,27,730
jrnd,30,6,5,mwr,b,28,228
jrnd,30,6,5,mwr,b,29,22
jrnd,30,6,5,mwr,b,30,0
jrnd,30,6,5,mwr,f,1,5140
jrnd,30,6,5,mwr,f,2,5156
jrnd,30,6,5,mwr,f,3,4906
jrnd,30,6,5,mwr,f,4,4990
jrnd,30,6,5,mwr,f,5,4928
jrnd,30,6,5,mwr,f,6,4808
jrnd,30,6,5,mwr,f,7,4782
jrnd,30,6,5,mwr,f,8,4752
jrnd,30,6,5,mwr,f,9,4726
jrnd,30,6,5,mwr,f,10,4518
jrnd,30,6,5,mwr,f,11,4506
jrnd,30,6,5,mwr,f,12,4474
jrnd,30,6,5,mwr,f,13,4374
jrnd,30,6,5,mwr,f,14,4302
jrnd,30,6,5,mwr,f,15,4240
jrnd,30,6,5,mwr,f,16,4106
jrnd,30,6,5,mwr,f,17,4006
jrnd,30,6,5,mwr,f,18,3980
jrnd,30,6,5,mwr,f,19,3882
jrnd,30,6,5,mwr,f,20,4060
jrnd,30,6,5,mwr,f,21,4070
jrnd,30,6,5,mwr,f,22,3952
jrnd,30,6,5,mwr,f,23,3766
jrnd,30,6,5,mwr,f,24,3478
jrnd,30,6,5,mwr,f,25,3116
jrnd,30,6,5,mwr,f,26,1568
jrnd,30,6,5,mwr,f,27,680
jrnd,30,6,5,mwr,f,28,228
jrnd,30,6,5,mwr,f,29,22
jrnd,30,6,5,mwr,f,30,0
jrnd,30,6,5,mwr,p,1,4550
jrnd,30,6,5,mwr,p,2,4510
jrnd,30,6,5,mwr,p,3,4370
jrnd,30,6,5,mwr,p,4,4400
jrnd,30,6,5,mwr,p,5,4350
jrnd,30,6,5,mwr,p,6,4310
jrnd,30,6,5,mwr,p,7,4300
jrnd,30,6,5,mwr,p,8,4330
jrnd,30,6,5,mwr,p,9,4260
jrnd,30,6,5,mwr,p,10,4160
jrnd,30,6,5,mwr,p,11,4090
jrnd,30,6,5,mwr,p,12,4040
jrnd,30,6,5,mwr,p,13,4010
jrnd,30,6,5,mwr,p,14,3880
jrnd,30,6,5,mwr,p,15,3840
jrnd,30,6,5,mwr,p,16,3760
jrnd,30,6,5,mwr,p,17,3770
jrnd,30,6,5,mwr,p,18,3740
jrnd,30,6,5,mwr,p,19,3660
jrnd,30,6,5,mwr,p,20,3840
jrnd,30,6,5,mwr,p,21,3860
jrnd,30,6,5,mwr,p,22,3760
jrnd,30,6,5,mwr,p,23,3600
jrnd,30,6,5,mwr,p,24,3370
jrnd,30,6,5,mwr,p,25,3080
jrnd,30,6,5,mwr,p,26,1560
jrnd,30,6,5,mwr,p,27,678
jrnd,30,6,5,mwr,p,28,228
jrnd,30,6,5,mwr,p,29,22
jrnd,30,6,5,mwr,p,30,0
jrnd,30,6,5,lwr,b,1,6632
jrnd,30,6,5,lwr,b,2,6930
jrnd,30,6,5,lwr,b,3,6412
jrnd,30,6,5,lwr,b,4,5872
jrnd,30,6,5,lwr,b,5,5744
jrnd,30,6,5,lwr,b,6,3344
jrnd,30,6,5,lwr,b,7,3344
jrnd,30,6,5,lwr,b,8,2904
jrnd,30,6,5,lwr,b,9,3092
jrnd,30,6,5,lwr,b,10,3300
jrnd,30,6,5,lwr,b,11,1388
jrnd,30,6,5,lwr,b,12,1288
jrnd,30,6,5,lwr,b,13,1484
jrnd,30,6,5,lwr,b,14,1570
jrnd,30,6,5,lwr,b,15,1696
jrnd,30,6,5,lwr,b,16,524
jrnd,30,6,5,lwr,b,17,520
jrnd,30,6,5,lwr,b,18,552
jrnd,30,6,5,lwr,b,19,612
jrnd,30,6,5,lwr,b,20,720
jrnd,30,6,5,lwr,b,21,112
jrnd,30,6,5,lwr,b,22,92
jrnd,30,6,5,lwr,b,23,114
jrnd,30,6,5,lwr,b,24,142
jrnd,30,6,5,lwr,b,25,162
jrnd,30,6,5,lwr,b,26,0
jrnd,30,6,5,lwr,b,27,0
jrnd,30,6,5,lwr,b,28,0
jrnd,30,6,5,lwr,b,29,0
jrnd,30,6,5,lwr,b,30,0
jrnd,30,6,5,lwr,f,1,5140
jrnd,30,6,5,lwr,f,2,5210
jrnd,30,6,5,lwr,f,3,5028
jrnd,30,6,5,lwr,f,4,4700
jrnd,30,6,5,lwr,f,5,4538
jrnd,30,6,5,lwr,f,6,2996
jrnd,30,6,5,lwr,f,7,2932
jrnd,30,6,5,lwr,f,8,2594
jrnd,30,6,5,lwr,f,9,2708
jrnd,30,6,5,lwr,f,10,2924
jrnd,30,6,5,lwr,f,11,1332
jrnd,30,6,5,lwr,f,12,1228
jrnd,30,6,5,lwr,f,13,1440
jrnd,30,6,5,lwr,f,14,1482
jrnd,30,6,5,lwr,f,15,1610
jrnd,30,6,5,lwr,f,16,524
jrnd,30,6,5,lwr,f,17,520
jrnd,30,6,5,lwr,f,18,552
jrnd,30,6,5,lwr,f,19,612
jrnd,30,6,5,lwr,f,20,720
jrnd,30,6,5,lwr,f,21,112
jrnd,30,6,5,lwr,f,22,92
jrnd,30,6,5,lwr,f,23,114
jrnd,30,6,5,lwr,f,24,142
jrnd,30,6,5,lwr,f,25,162
jrnd,30,6,5,lwr,f,26,0
jrnd,30,6,5,lwr,f,27,0
jrnd,30,6,5,lwr,f,28,0
jrnd,30,6,5,lwr,f,29,0
jrnd,30,6,5,lwr,f,30,0
jrnd,30,6,5,lwr,p,1,4550
jrnd,30,6,5,lwr,p,2,4640
jrnd,30,6,5,lwr,p,3,4400
jrnd,30,6,5,lwr,p,4,4140
jrnd,30,6,5,lwr,p,5,4070
jrnd,30,6,5,lwr,p,6,2776
jrnd,30,6,5,lwr,p,7,2720
jrnd,30,6,5,lwr,p,8,2448
jrnd,30,6,5,lwr,p,9,2552
jrnd,30,6,5,lwr,p,10,2784
jrnd,30,6,5,lwr,p,11,1296
jrnd,30,6,5,lwr,p,12,1194
jrnd,30,6,5,lwr,p,13,1398
jrnd,30,6,5,lwr,p,14,1458
jrnd,30,6,5,lwr,p,15,1584
jrnd,30,6,5,lwr,p,16,524
jrnd,30,6,5,lwr,p,17,520
jrnd,30,6,5,lwr,p,18,552
jrnd,30,6,5,lwr,p,19,612
jrnd,30,6,5,lwr,p,20,720
